Eps    1: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -278.0 :eps 1.000:Act ((Robot(R1): Node(25)->Node(57)),(Robot(R2): Node(24)->Node(56)),(Robot(R3): Node(32)->Node(62)),(Robot(R4): Node(21)->Node(53)),(Robot(R5): Node(69)->Node(9)),(Robot(R6): Node(10)->Node(44)),(Robot(R7): Node(105)->Node(65)),(Robot(R8): Node(76)->Node(10)),(Robot(R9): Node(41)->Node(6))) 
Eps    2: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -349.1 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps    3: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -408.8 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps    4: ENVT  101: ENVR   -204.9 :EC  0:TS  101: R   -446.2 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps    5: ENVT  101: ENVR   -313.7 :EC  0:TS  101: R   -351.8 :eps 0.000:Act ((Robot(R1): Node(65)->Node(105)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R7): Node(101)->Node(61)),(None: None->None),(None: None->None)) 
Eps    6: ENVT  101: ENVR   -313.7 :EC  0:TS  101: R   -279.5 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(36)->Node(96)),(Robot(R3): Node(6)->Node(66)),(Robot(R4): Node(68)->Node(2)),(Robot(R5): Node(65)->Node(105)),(Robot(R6): Node(96)->Node(36)),(Robot(R7): Node(9)->Node(75)),(Robot(R8): Node(98)->Node(38)),(None: None->None)) 
Eps    7: ENVT  101: ENVR   -313.7 :EC  0:TS  101: R   -439.5 :eps 0.000:Act ((None: None->None),(Robot(R2): Node(74)->Node(8)),(None: None->None),(Robot(R4): Node(103)->Node(63)),(Robot(R5): Node(36)->Node(96)),(None: None->None),(Robot(R7): Node(32)->Node(92)),(Robot(R8): Node(38)->Node(98)),(Robot(R9): Node(8)->Node(68))) 
Eps    8: ENVT  101: ENVR   -313.7 :EC  0:TS  101: R   -397.9 :eps 0.000:Act ((Robot(R1): Node(63)->Node(103)),(Robot(R2): Node(103)->Node(63)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(33)->Node(63))) 
Eps    9: ENVT  101: ENVR   -313.7 :EC  0:TS  101: R   -409.9 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(103)->Node(63)),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   10: ENVT  101: ENVR   -311.6 :EC  0:TS  101: R   -356.2 :eps 0.000:Act ((Robot(R1): Node(96)->Node(36)),(None: None->None),(Robot(R3): Node(61)->Node(101)),(None: None->None),(Robot(R5): Node(105)->Node(65)),(None: None->None),(Robot(R7): Node(65)->Node(105)),(None: None->None),(Robot(R9): Node(102)->Node(62))) 
Eps   11: ENVT  101: ENVR   -311.6 :EC  0:TS  101: R   -359.6 :eps 0.000:Act ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None)) 
Eps   12: ENVT  101: ENVR   -311.6 :EC  0:TS  101: R   -395.2 :eps 0.000:Act ((Robot(R1): Node(71)->Node(11)),(Robot(R2): Node(27)->Node(59)),(Robot(R3): Node(91)->Node(31)),(Robot(R4): Node(15)->Node(49)),(Robot(R5): Node(33)->Node(63)),(Robot(R6): Node(60)->Node(29)),(Robot(R7): Node(39)->Node(99)),(Robot(R8): Node(18)->Node(78)),(Robot(R9): Node(65)->Node(34))) 
