T=1: ((Robot(R1), Node(24), ->Node(24), 0),(Robot(R2), Node(101), ->Node(101), 12),(Robot(R3), Node(11), ->Node(11), 0),(Robot(R4), Node(38), ->Node(38), 0),(Robot(R5), Node(54), ->Node(54), 12),(Robot(R6), Node(29), ->Node(29), 12),(Robot(R7), Node(63), ->Node(63), 0),(Robot(R8), Node(22), ->Node(22), 0),(Robot(R9), Node(40), ->Node(40), 0)) & ((Robot(R1): Node(24)->Node(56)),(None: None->None),(Robot(R3): Node(11)->Node(77)),(Robot(R4): Node(38)->Node(98)),(Robot(R5): Node(54)->Node(21)),(Robot(R6): Node(29)->Node(95)),(Robot(R7): Node(63)->Node(32)),(Robot(R8): Node(22)->Node(82)),(Robot(R9): Node(40)->Node(5))) -> 2.928571428571429, ((Robot(R1), Node(56), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 11),(Robot(R3), Node(77), ->Node(35), 0),(Robot(R4), Node(98), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 11),(Robot(R6), Node(29), ->Node(29), 11),(Robot(R7), Node(32), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(5), ->Node(9), 0))
T=2: ((Robot(R1), Node(56), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 11),(Robot(R3), Node(77), ->Node(35), 0),(Robot(R4), Node(98), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 11),(Robot(R6), Node(29), ->Node(29), 11),(Robot(R7), Node(32), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(5), ->Node(9), 0)) & ((Robot(R1): Node(56)->Node(25)),(None: None->None),(Robot(R3): Node(77)->Node(17)),(Robot(R4): Node(98)->Node(38)),(None: None->None),(Robot(R6): Node(29)->Node(95)),(Robot(R7): Node(32)->Node(92)),(None: None->None),(Robot(R9): Node(5)->Node(71))) -> 2.845238095238095, ((Robot(R1), Node(25), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 10),(Robot(R3), Node(17), ->Node(35), 0),(Robot(R4), Node(38), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 10),(Robot(R6), Node(29), ->Node(29), 10),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(71), ->Node(9), 0))
T=3: ((Robot(R1), Node(25), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 10),(Robot(R3), Node(17), ->Node(35), 0),(Robot(R4), Node(38), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 10),(Robot(R6), Node(29), ->Node(29), 10),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(71), ->Node(9), 0)) & ((Robot(R1): Node(25)->Node(57)),(None: None->None),(Robot(R3): Node(17)->Node(83)),(Robot(R4): Node(38)->Node(3)),(None: None->None),(Robot(R6): Node(29)->Node(95)),(None: None->None),(None: None->None),(Robot(R9): Node(71)->Node(11))) -> 2.6904761904761907, ((Robot(R1), Node(57), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 9),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(3), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 9),(Robot(R6), Node(29), ->Node(29), 9),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(11), ->Node(9), 0))
T=4: ((Robot(R1), Node(57), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 9),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(3), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 9),(Robot(R6), Node(29), ->Node(29), 9),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(11), ->Node(9), 0)) & ((Robot(R1): Node(57)->Node(26)),(None: None->None),(None: None->None),(Robot(R4): Node(3)->Node(69)),(None: None->None),(Robot(R6): Node(29)->Node(95)),(None: None->None),(None: None->None),(Robot(R9): Node(11)->Node(45))) -> 2.4246031746031744, ((Robot(R1), Node(26), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 8),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 8),(Robot(R6), Node(29), ->Node(29), 8),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(45), ->Node(9), 0))
T=5: ((Robot(R1), Node(26), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 8),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 8),(Robot(R6), Node(29), ->Node(29), 8),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(45), ->Node(9), 0)) & ((Robot(R1): Node(26)->Node(86)),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(29)->Node(95)),(None: None->None),(None: None->None),(Robot(R9): Node(45)->Node(10))) -> 2.0873015873015874, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 7),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 7),(Robot(R6), Node(29), ->Node(29), 7),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(10), ->Node(9), 0))
T=6: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 7),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 7),(Robot(R6), Node(29), ->Node(29), 7),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(10), ->Node(9), 0)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R6): Node(29)->Node(95)),(None: None->None),(None: None->None),(Robot(R9): Node(10)->Node(44))) -> 1.6785714285714286, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 6),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 6),(Robot(R6), Node(29), ->Node(29), 6),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(44), ->Node(9), 0))
T=7: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 6),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 6),(Robot(R6), Node(29), ->Node(29), 6),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(44), ->Node(9), 0)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(44)->Node(9))) -> 2.2698412698412698, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 5),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 5),(Robot(R6), Node(29), ->Node(29), 5),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 12))
T=8: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 5),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 5),(Robot(R6), Node(29), ->Node(29), 5),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 12)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> 1.8611111111111112, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 4),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 4),(Robot(R6), Node(29), ->Node(29), 4),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 11))
T=9: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 4),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 4),(Robot(R6), Node(29), ->Node(29), 4),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 11)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> 1.4523809523809526, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 3),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 3),(Robot(R6), Node(29), ->Node(29), 3),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 10))
T=10: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 3),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 3),(Robot(R6), Node(29), ->Node(29), 3),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 10)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> 1.0436507936507935, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 2),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 2),(Robot(R6), Node(29), ->Node(29), 2),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 9))
T=11: ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 2),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 2),(Robot(R6), Node(29), ->Node(29), 2),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 9)) & ((None: None->None),(None: None->None),(None: None->None),(None: None->None),(Robot(R5): Node(54)->Node(21)),(None: None->None),(None: None->None),(None: None->None),(Robot(R9): Node(9)->Node(43))) -> 0.6349206349206351, ((Robot(R1), Node(86), ->Node(53), 0),(Robot(R2), Node(101), ->Node(101), 1),(Robot(R3), Node(83), ->Node(35), 0),(Robot(R4), Node(69), ->Node(32), 0),(Robot(R5), Node(54), ->Node(54), 1),(Robot(R6), Node(29), ->Node(29), 1),(Robot(R7), Node(92), ->Node(6), 0),(Robot(R8), Node(82), ->Node(38), 0),(Robot(R9), Node(9), ->Node(9), 8))
